koid	name	op	
KO03398	TU-0269	aroM,yaiA
KO03394	TU-0262	psiF,phoA
KO03397	TU-0267	aroM,aroL,yaiA
KO06148	TU-Exp-0509	cusF,cusC,cusA,cusB
KO06149	TU-Exp-0512	fumB,dcuB
KO06140	TU-Exp-0471	gabD,lhgO,gabP,gabT,csiD
KO06141	TU-Exp-0472	gabD,gabP,gabT
KO06147	TU-Exp-0507	csgB,csgA,csgC
KO06144	TU-Exp-0494	mioC,mnmG,asnC
KO03324	TU-0142	cdsA,ispU
KO03266	TU-0012	dnaK,dnaJ
KO03260	glgBX	glgB,glgX
KO03261	dsbD-cutA	cutA,dsbD
KO03262	TU-0001	thrC,thrB,thrA
KO03263	TU-0004	thrC,thrB
KO03484	TU-0415	entC,entB,entE,entH,entA
KO03485	TU-0416	cstA,ybdD
KO03487	TU-0421	ahpC,ahpF
KO03481	TU-0411	entF,fes,ybdZ
KO06201	TU-Exp-0852	glpX,glpF,glpK
KO03489	TU-0429	citA,citB
KO03323	TU-0135	dxr,frr
KO06032	TU-4636	hsdM,hsdS
KO06033	TU-4640	yjiA,yjiX
KO06030	TU-4634	mcrC,mcrB
KO06038	TU-4645	dnaT,dnaC,yjjA
KO06039	TU-4647	yjjP,yjjB
KO03822	TU-1036	rstA,rstB
KO03820	TU-1031	ydgH,ydgI
KO03739	TU-0914	paaA,paaB,paaG,paaH,paaI,paaJ,paaC,paaD,paaE,paaF,paaK
KO03736	TU-0910	ydbL,ynbE,ydbH
KO03737	TU-0912	ydbL,ynbE
KO03733	TU-0904	stfR,tfaR
KO05951	TU-4532	yjdF,fumB,dcuB
KO05953	TU-4534	dcuR,dcuS
KO05956	TU-4537	cadB,cadA
KO05420	TU-3685	fryB,fryA,fryC,ypdE,ypdF
KO05427	TU-3696	xapA,xapB
KO05429	TU-3698	ligA,ypeB
KO03642	TU-0722	fabF,acpP
KO03643	TU-0731	yceG,pabC,holB,tmk,ycfH
KO03646	TU-0739	hinT,lpoB,ycfL,nagZ,thiK,ycfP
KO03647	TU-0742	nagZ,ycfP
KO03644	TU-0732	holB,tmk,ycfH
KO04146	TU-1561	nrdF,nrdI,nrdE,nrdH
KO04415	TU-2008	envC,gpmM,yibQ
KO05399	TU-3654	folC,accD
KO05392	TU-3642	yfcE,yfcD
KO05390	TU-3637	yfbT,yfbU
KO05397	TU-3651	ubiX,cvpA,purF
KO05395	TU-3646	hisP,hisM,hisQ,hisJ
KO05888	TU-4450	frvR,frvA,frvB,frvX
KO05889	TU-4451	rhaA,rhaD,rhaM,rhaB
KO05554	TU-3913	fucO,fucA
KO05887	TU-4448	fdoI,fdoG,fdoH
KO05885	TU-4444	yihS,yihT,yihU
KO05550	TU-3908	gudX,gudP,gudD
KO05551	TU-3909	truC,yqcC,yqcA
KO05880	TU-4436	glnG,glnL
KO05375	TU-3614	glpQ,glpT
KO05376	TU-3615	rhmR,rhmD,rhmT,rhmA
KO05370	TU-3607	yfaT,yfaP,yfaQ,yfaA
KO05086	TU-3170	ydaE,kilR
KO05087	TU-3171	ydaF,ydaG
KO05084	TU-3168	ydaQ,intR,recT,rcbA,ralR,recE
KO05080	TU-3161	abgT,abgB,abgA
KO05771	TU-4286	hdeB,yhiD,hdeA
KO05174	TU-3302	tyrS,pdxY
KO05175	TU-3303	pdxH,tyrS,pdxY
KO04173	TU-1606	fucR,fucU
KO04172	TU-1602	ygdG,sdaB,sdaC
KO04280	TU-1771	yraP,diaA
KO04284	TU-1775	yhbU,yhbV
KO05021	TU-3071	ymgD,ymgG,ymgI
KO04772	TU-2669	frmR,frmA,frmB
KO04770	TU-2667	lacI,mhpR
KO04911	TU-2903	fiu,ybiX
KO04914	TU-2906	glnQ,glnP,glnH
KO04598	TU-2381	hflK,hflX,hfq,hflC
KO04597	TU-2376	hflK,hflX,hfq,hflC,miaA
KO04596	TU-2375	mutL,hflK,hflX,hfq,hflC,miaA
KO04595	TU-2374	mutL,hflK,hflX,hfq,hflC,miaA,tsaE,amiB
KO04594	TU-2371	mutL,hflK,hflX,hfq,hflC,miaA,nnr,tsaE,amiB
KO04591	TU-2366	yjeM,yjeO,yjeN
KO04608	TU-2397	rpsF,rplI,priB,rpsR
KO04607	TU-2396	ulaF,ulaC,ulaD,ulaA,ulaB,ulaE
KO04358	TU-1911	rsmD,yhhL
KO04604	TU-2393	yjfC,yjfM,yjfK,yjfL
KO04603	TU-2392	yjfI,yjfJ
KO04601	TU-2389	rlmB,rnr,nsrR
KO04820	TU-2756	ybcJ,folD
KO03259	yadB-dksA	gluQ,dksA
KO06191	TU-Exp-0801	bdm,prfC
KO06190	TU-Exp-0768	dnaT,dnaC
KO06195	TU-Exp-0814	htrE,yadV
KO06194	TU-Exp-0807	recF,dnaN
